kernel,N,cycles,gmem,scratch,issued,active,util_permil
fsaxpy,8,17,3,0,11,88,1000
fsaxpy,64,102,24,0,88,704,1000
fsaxpy,256,393,96,0,352,2816,1000
fsaxpy16,8,18,3,0,12,96,1000
fsaxpy16,64,110,24,0,96,768,1000
fsaxpy16,256,425,96,0,384,3072,1000
fnorm,8,87,3,0,10,80,1000
fnorm,64,620,24,0,80,640,1000
fnorm,256,2396,96,0,320,2560,1000
fdot,8,58,3,16,35,126,450
fdot,64,406,24,128,280,1008,450
fdot,256,1587,96,512,1120,4032,450
